# 从 Anki 牌组转换：大学英语四级单词(词典重制完美版).apkg
# 格式：单词|释义|例句|例句翻译
Mediterranean|[ˌmedɪtəˈreɪniən] adj. 地中海的 n. 地中海|She was hoping that the Mediterranean climate would restore her to full health.|她希望地中海的气候能够将她恢复到完全健康的状态。
medium|[ˈmiːdiəm] adj. 中等的；适中的 n. 手段；媒介|The blue cap is a medium size.|那顶蓝色的帽子就是中号的。
meet|[miːt] v. 遇见；满足 n. 运动会；集会 adj. 合适的|I chanced to meet an old friend in the park today.|今天我在公园碰巧遇见一位老朋友。
melon|[ˈmelən] n. 甜瓜|We garnished the melon with strawberries.|我们给甜瓜配上草莓。
melt|[melt] vi. 融化；熔化 vt. 使融化；使熔化 n. 熔化物；融化|These chocolates really melt in your mouth.|这些巧克力真正是入口即化。
member|[ˈmembə(r)] n. 成员；会员|He declared himself a member of their party.|他声明他本人是他们政党的成员。
memorial|[məˈmɔːriəl] n. 纪念碑；纪念物 adj. 纪念的；追悼的|This memorial commemorates those who died in the war.|这座纪念碑是纪念战争中牺牲者的。
memory|[ˈmeməri] n. 记忆力；回忆|He has a good visual memory.|他有良好的视觉记忆力。
mend|[mend] vt. 修理；修补 vi. 改过自新；改进 n. 修补；改进|We need an electrician to mend the iron.|我们要请电工修理熨斗。
mental|[ˈmentl] adj. 思想的；心理的 n. 精神病患者|It's clear that mental activity does not stop when we're asleep.|很显然,我们熟睡的时候,思想活动仍然不会停下来。
mention|[ˈmenʃn] vt. 提到；说起 n. 提及；说起|Speaking of Macao, it is necessary to mention lotus flowers.|说到澳门,就不得不提到莲花了。
menu|[ˈmenjuː] n. 菜单|We only have an a la carte menu.|我们只有分类菜单。
merchant|[ˈmɜːtʃənt] n. 商人；店主 adj. 商业的；商船的 n. （班轮提单）货方；签约方|The merchant had received a shipment of tea.|这个商人收到了一船茶叶。
mercury|[ˈmɜːkjəri] n. 水银；（M~）水星|Mercury weighs more than water by about 14 times.|水银比水重约十三倍。
mercy|[ˈmɜːsi] n. 仁慈；怜悯|Mercy to the enemies means cruelty to the people.|对敌人的仁慈就意味着对人民的残忍。
mere|[mɪə(r)] adj. 仅仅的；纯粹的|Don't scold him, he is a mere child.|别责备他,他只不过是个孩子。
merely|[ˈmɪəli] adv. 仅仅；只不过|They are not merely content to fill the stomach.|他们不仅仅满足于填饱肚子。
merit|[ˈmerɪt] n. 优点；功绩 v. 值得；应得|This method at least had the merit of simplicity.|这种办法至少有简单明了的优点。
merry|[ˈmeri] adj. 愉快的；欢乐的|There is a merry smile on her face.|她脸上露出愉快的微笑。
mess|[mes] n. 混乱；混杂 v. 弄糟；弄乱|The local economy is now in a mess.|当地的经济现在很混乱。
messenger|[ˈmesɪndʒə(r)] n. 报信者；先兆|Maybe I can act as a messenger for you.|也许我能给你当信差。
metal|[ˈmetl] n. 金属；合金 vt. (以金属)覆盖、装配|Copper and gold are both metals.|铜和金都是金属。
meter|[ˈmiːtə(r)] n. 公尺；米 n. 计量器；计时器 vt. (用仪表)测量|It is a mere 100 meter from my house to the theater.|从我家到剧场只有一百公尺。
method|[ˈmeθəd] n. 方法；条理 n. 类函数；类成员函数（计算机）|I have a simple and easy method.|我有个简易的方法。
metre|[ˈmiːtə(r)] n. 米；公尺 n. （诗的）韵律；格律 =meter(美).|This cloth is sold by the metre.|这种布按米出售。
metric|[ˈmetrɪk] adj. 公制的；米制的 n. 标准；度量|Britain changed to a metric system of currency in 1970.|1970年,英国已改用公制货币。
microcomputer|[ˈmaɪkrəʊkəmpjuːtə(r)] n. 微型计算机|The typical secondary storage medium of a microcomputer is the floppy and hard disks.|微型计算机的典型的辅助存储介质是软盘和硬盘。
microscope|[ˈmaɪkrəskəʊp] n. 显微镜|He focuses the lens of a microscope.|他调整显微镜的透镜以定焦点。
midday|[ˌmɪdˈdeɪ] n. 正午；中午|He's grilling out there in the midday sun.|他在正午的阳光下受炙烤。
middle|[ˈmɪdl] adj. 中等的；中间的 n. 中间 vt. 放在中间；把 ... 对折|There are 300 students or so in this middle school.|这所中学大约有300个学生。
midnight|[ˈmɪdnaɪt] n. 午夜；漆黑|The mail was sorted and pouched by midnight.|邮件在午夜前分拣装包。
midst|[mɪdst] n. 中间；当中 prep. 在 ... 当中(=amidst)|He was but recently in our midst.|他只是最近才到我们中间。
might|[maɪt] aux. 可能；也许 n. 威力；力量|That might be in your favor.|那可能对你有利。
mild|[maɪld] adj. 温和的；柔和的|He has a mild nature.|他的性格温和。
mile|[maɪl] n. 英里；海里|My son hoofs a mile to school each day.|我的儿子每天步行一英里去上学。
military|[ˈmɪlətri] adj. 军事的 n. 军队|They are making further efforts to decrease military spending.|他们正在做进一步的努力来减少军费开支。
mill|[mɪl] n. 磨坊；工厂 v. 碾碎；磨|He sends his crop to a large mill instead of grinding it himself.|他把收获的庄稼送到大磨坊去，而不是自己碾磨。
millimetre|[ˈmɪlimiːtə(r)] n. 毫米 =millimeter(美).|The deviation is reduced to one millimetre.|偏差减为一毫米。
million|[ˈmɪljən] n. 百万；群众 adj. 无数的；百万的|It is estimated that the damage was over one million dollars.|据估计，损失超过了一百万元。
mind|[maɪnd] n. 头脑；精神 v. 留心；注意|He is ninety years old,but his mind is sharp.|他虽然90岁了,但头脑还很灵活。
mine|[maɪn] pron. 我的 n. 矿；地雷 v. 采矿；用地雷炸|He is a distant cousin of mine.|他是我的一位远房表亲。
miner|[ˈmaɪnə(r)] n. 矿工|He doubles the parts of a farmhand and a miner.|在这出戏里他既扮演雇农又扮演矿工。
mineral|[ˈmɪnərəl] n. 矿物(石）；矿物质|Coal is a mineral.|煤是一种矿物。
minimum|[ˈmɪnɪməm] adj. 最少的；最低程度的 n. 最低限度；最小量|That is the minimum number necessary to complete the circuit.|这是完善循环的最低限度人数。
minister|[ˈmɪnɪstə(r)] n. 外交使节；部长 v. 照顾；给予帮助|The president gave his minister carte blanche in foreign affairs.|总统把处理外交事务的全权授予他的公使。
ministry|[ˈmɪnɪstri] n. (政府的)部；内阁|She's on attachment to the Ministry of Defense.|她现在隶属于国防部。
minor|[ˈmaɪnə(r)] adj. 轻微的；较小的 n. 未成年人；辅修科目 v. 辅修|You should be thankful that you have escaped with only minor injuries.|你应该感到庆幸,你只是受了点轻伤,但是却脱险了。
minority|[maɪˈnɒrəti] n. 少数；少数民族|Only a minority of British households do not have a car.|英国只有少数家庭没有汽车。
minus|[ˈmaɪnəs] adj. 负的；减的 n. 减号；负数 prep. 减去|The temperature is minus twenty degrees.|温度是零下二十度。
miracle|[ˈmɪrəkl] n. 奇迹|Her life was saved by a miracle.|她的生命是靠奇迹救活的。
mirror|[ˈmɪrə(r)] n. 镜子；反映 vt. 反映；反射|Steam has fogged the bathroom mirror.|水蒸气把浴室里的镜子遮住了。
miserable|[ˈmɪzrəbl] adj. 痛苦的；悲惨的|Her wretchedness made him feel miserable.|她的不幸让他感到十分难受。
mislead|[ˌmɪsˈliːd] vt. 误导；使产生错误印象|A description about a product should not mislead the customers.|产品的说明书不能误导顾客。
miss|[mɪs] n. [M-]小姐 vt. 想念 vt. 错过；漏掉|Miss Williams can read and write French very well.|威廉斯小姐能够很自如地用法语看书和写东西。
missile|[ˈmɪsaɪl] n. 导弹；投射物|The missile deflected from its trajectory.|导弹已偏离轨道。
missing|[ˈmɪsɪŋ] adj. 失踪的；失去的|Police are combing the woods for the missing children.|警察搜遍树林以寻找失踪的孩子。
mission|[ˈmɪʃn] n. 使命；代表团|The minister was sent to Spain on mission.|这位部长奉命前往西班牙。
mist|[mɪst] n. 雾；迷蒙 vt. 使…模糊；蒙上雾 vi. 使模糊；下雾|A mist of perfume hung in the air.|空气中飘溢著香水的雾气。
Mister|[ˈmɪstə(r)] n. 先生 v. 称…先生|The meeting was led by Mister Johnson.|这个会议由约翰逊先生主持。
mistress|[ˈmɪstrəs] n. 主妇；女主人|Wealth is a good servant, a very bad mistress.|财富是个好仆人，也是一个坏主妇。
mix|[mɪks] v. 混合；掺入 n. 混合(物)；融合|You can't mix oil with water.|你不能把油和水混合。
mixture|[ˈmɪkstʃə(r)] n. 混合；混合物|You need a spoon to beat the mixture smooth.|你需要用一把调羹来搅均混合液。
moan|[məʊn] n. 呻吟声；抱怨声 vt. 抱怨；呻吟 vi. 呻吟；抱怨|Each time she moved her head she let out a moan.|她每转动一下头，就发出一声呻吟。
mobile|[ˈməʊbaɪl] adj. 移动的；易变的 n. 汽车；可动雕塑|He had a mobile, expressive, animated face.|他有一张多变的，富于表情的，生动活泼的脸。
mode|[məʊd] n. 方式；模式|The country girl was not used to their lavish mode of living.|这个乡下姑娘不习惯他们奢侈的生活方式。
model|[ˈmɒdl] n. 模范；模特儿 adj. 模范的；作模型用的 v. 做模型；模仿|His mother is a model of industry.|他母亲是勤劳的模范。
moderate|[ˈmɒdərət] adj. 适度的；温和的 v. 节制；使 ... 稳定，使 ... 缓和 n. 稳健的人|Moderate exercise will be of benefit to you.|适度运动对你有益。
modern|[ˈmɒdn] adj. 现代的；时髦的 n. 现代人；时尚人士|Modern agriculture is spoiling our beautiful countryside.|现代农业正在破坏我们美丽的农村。
modest|[ˈmɒdɪst] adj. 谦虚的；适度的|We should be modest and prudent.|我们应该谦虚谨慎。
modify|[ˈmɒdɪfaɪ] v. 修改；更改|We have to modify our plan a little bit.|我们得对我们的计划稍加修改。
moist|[mɔɪst] adj. 潮湿的；湿润的|This gave a warm and moist feeling to the picture.|这样让整张画有了些温暖和潮湿的感觉。
moisture|[ˈmɔɪstʃə(r)] n. 水分；潮气|The plants absorb moisture from the soil.|植物从土壤中吸取水分。
molecule|[ˈmɒlɪkjuːl] n. 分子；微粒|A molecule is made up of atoms.|分子由原子组成。
moment|[ˈməʊmənt] n. 片刻；瞬间|I'll be back in a moment.|我一会儿就回来。
money|[ˈmʌni] n. 财产；钱|He robs her of money.|他抢夺她的财产。
monitor|[ˈmɒnɪtə(r)] v. 监视；监督 n. 班长；监视器|Police officers have been closely monitoring the organization's activities.|警方密切地监视着该组织的活动。
monkey|[ˈmʌŋki] n. 猴子；猴一样的人 v. 嘲弄；胡闹|When the tree falls, the monkeys scatter.|树倒猢狲散。
monthly|[ˈmʌnθli] adj. 每月的；一个月有效的 adv. 每月；按月 n. 月刊 n. (复数）monthlies:月经|My monthly income was just over 200 pounds.|我每月的收入是200多磅。
monument|[ˈmɒnjumənt] n. 纪念碑；历史遗迹|The monument was fronted with stone.|纪念碑的正面是石料做的。
mood|[muːd] n. 心情；情绪|I'm not in the mood to disagree with you.|我没有心思跟你争论。
moon|[muːn] n. 月亮；月球 v. 闲逛；虚度|The moon goes round the earth.|月亮绕着地球转。
moral|[ˈmɒrəl] adj. 道德的；精神上的 n. 寓意；道德|She regards his moral faults with charity.|她宽恕他的品行不端。
more|[mɔː(r)] pron. 更多的；另外的 adv. 更多；再|There are more cars on the road in the summer than in the winter.|夏天路上的车子比冬天多。
moreover|[mɔːrˈəʊvə(r)] adv. 此外；而且|He was, moreover, a poet of promise.|此外，他还是一个有前途的诗人。
morning|[ˈmɔːnɪŋ] n. 早晨；上午|Did you really feel ill this morning?|今天早晨你真的感到身体不适吗？
mortal|[ˈmɔːtl] adj. 致命的；终有一死的 n. 凡人|His injuries proved mortal.|他的伤成了致命伤。
mosquito|[məˈskiːtəʊ] n. 蚊子|The mosquito is the disgusting thing.|蚊子是讨厌的东西。
most|[məʊst] adj. 最多的；大多数的 adv. 最；最多 pron. 大多数；大部分 n. 最多|This is the area that attracts the most attention.|这是最受关注的地区。
mostly|[ˈməʊstli] adv. 主要地；通常|Recycled materials are mostly of limited use.|再生材料大多用途有限。
mother|[ˈmʌðə(r)] n. 母亲；妈妈 adj. 母亲的；母体的 vt. 生育；像母亲一样关爱|I wonder when mother will ring?|我不知道母亲什么时候会打电话来？
motion|[ˈməʊʃn] n. 移动；动作 v. 示意；运动|The object is no longer in motion.|该物体已不处於运动状态.
motivate|[ˈməʊtɪveɪt] vt. 激发(兴趣或欲望)；给与动机|He is just sitting there doing nothing. He needs to be motivated.|他坐在那儿什么也不干,他需要一点动力去激发他。
motive|[ˈməʊtɪv] n. 动机；目的 adj. 发动的；运动的 vt. 促使|Her prime motive was personal ambition.|她的主要动机是为了实现个人的志向。
motor|[ˈməʊtə(r)] n. 马达；发动机 adj. 机动的；汽车的|At six o'clock the motor started up.|6点钟时马达开动起来。
mould|[məʊld] n. 形状；模子 v. 模压；塑造|Her fingers went over the mould of his face, over his features.|她的手指反复感知着他的脸型,他的特征。
mount|[maʊnt] v. 登上；爬上 n. 底板；爬上 n. 山；峰|He mounted the horse and rode off.|他骑上马走了。
mourn|[mɔːn] v. 哀悼；忧伤|People wore crapes to mourn our leader.|人们戴着黑纱哀悼我们的领导。
mouse|[maʊs] n. 老鼠；胆小如鼠的人 v. 捕鼠；仔细搜寻|The mouse scurried into its hole when the cat appeared.|猫一露面，老鼠急忙钻进自己的洞里。
mouth|[maʊθ] n. 嘴；口 v. 不出声说；装腔作势地说|Her mouth is her best feature.|她的嘴是她容貌上最好看的部分。
mouthful|[ˈmaʊθfʊl] n. 一口；又长又拗口的词|I can't manage another mouthful.|我一口也吃不下了。
move|[muːv] n. 移动；步骤 vt. 推动；使移动 vi. 移动；搬家|The army is on the move.|军队在移动。
movie|[ˈmuːvi] n. 电影|The movie was over shortly before six.|电影在六点钟不到就结束了。
much|[mʌtʃ] adj. 许多的 adv. 很；非常 n. 许多|The President's speech provoked much discussion.|总统的演说引发了许多议论。
mud|[mʌd] n. 泥；泥浆 vt. 弄脏；抹泥|My car's stuck in the mud, and it won't budge.|我的车陷入泥中，一动也不动。
muddy|[ˈmʌdi] adj. 泥泞的；浑浊的 v. 使沾上烂泥；使 ... 混浊|It's muddy underfoot.|地上很泥泞。
mug|[mʌɡ] n. 脸；杯 v. 打劫；突击学习|Wear a straw hat and bring a mug with you.|你要戴上草帽，带上杯子。
multiple|[ˈmʌltɪpl] adj. 多种多样的；许多的 n. 倍数；并联|He is the person with multiple injuries.|他就是那个多处受伤的人。
multiply|[ˈmʌltɪplaɪ] vt. 乘；增加 vi. 做乘法；繁衍 adv. 多样地；多重地|Let us multiply the height by the width to determine the area.|用宽乘以高来确定面积。
murder|[ˈmɜːdə(r)] n. 谋杀；谋杀案 vt. 谋杀；糟蹋 vi. 谋杀|He did a long stretch for attempted murder.|他因谋杀未遂罪坐了很长时间的牢。
murderer|[ˈmɜːdərə(r)] n. 杀人犯；凶手|The murderer was sentenced to death.|杀人犯被判处死刑。
muscle|[ˈmʌsl] n. 肌肉 v. 硬挤；变硬实|He strained his muscle in the match.|他在那次比赛中拉伤了肌肉。
museum|[mjuˈziːəm] n. 博物馆；展览馆|The museum has many immemorial cultural relics.|该博物馆收藏了很多极其古老的文物。
mushroom|[ˈmʌʃrʊm] n. 蘑菇；菌菇状物 vi. 采蘑菇；雨后春笋般涌现|Some mushrooms are poisonous.|有些蘑菇有毒。
music|[ˈmjuːzɪk] n. 音乐；美妙的声音|He is interested in music.|他对音乐有兴趣。
musical|[ˈmjuːzɪkl] adj. 音乐的；喜欢音乐的 n. 音乐片|The mother found that her son had a musical talent.|母亲发现儿子有音乐天赋。
musician|[mjuˈzɪʃn] n. 音乐家|That musician is very famous.|那位音乐家非常有名。
must|[mʌst] aux. 必须；应当 n. 必须做的事；未发酵的葡萄汁|Something must be done about it.|必须得想个办法。
mute|[mjuːt] n. 哑巴；沉默的人 adj. 哑的；沉默的 vt. 减音；减弱 vi. (鸟)排泄|He's a deaf mute and cannot tell anyone secret.|他是个聋哑人，不会把他们的秘密告诉任何人。
mutter|[ˈmʌtə(r)] v. 咕哝；抱怨 n. 嘟哝；抱怨|Mutter Sarah was muttering away to herself as she did the washing-up.|萨拉一边洗碗碟一边独自咕哝个没完。
mutton|[ˈmʌtn] n. 羊肉|Fish doesn't go well with mutton.|鱼和羊肉在一起不好吃。
mutual|[ˈmjuːtʃuəl] adj. 共同的；相互的|Other organizations have joined the confederation for mutual benefit.|其他组织为了共同的利益也加入了这个联盟。
my|[maɪ] adj. 我的（I的所有格形式） int. 哎呦（用于表示惊讶的感叹词）|You mistook my meaning entirely.|你完全误解了我的意思。
mysterious|[mɪˈstɪəriəs] adj. 神秘的；不可思议的|The enchanter is very mysterious.|魔法师非常神秘。
mystery|[ˈmɪstri] n. 谜，神秘；奥秘|His past is enveloped in a shroud of mystery.|他过去的经历笼罩着神秘气氛。
nail|[neɪl] n. 钉子；指甲 vt. 钉；抓住|He hit the nail into the wall with a hammer.|他用一把锤子把钉子打进墙里去。
naked|[ˈneɪkɪd] adj. 裸体的；无掩饰的|These little boys swim naked in the river.|这些小孩光着身子在河里游泳。
name|[neɪm] n. 名称；姓名 v. 命名；取名 adj. 著名的|Rubella is just another name for German measles.|风疹只是德国麻疹的另一个名称。
namely|[ˈneɪmli] adv. 即；也就是|Labor has twoness, namely specific work and abstract work.|劳动具有二重性，即具体劳动与抽象劳动。
nap|[næp] n. 小睡；绒毛 vi. 打盹；疏忽|He was aroused from his nap by the doorbell.|他午睡时被门铃吵醒。
narrow|[ˈnærəʊ] adj. 有限的；狭窄的 n. 海峡；隘路 v. 变窄|The shop sells only a narrow range of goods.|这家商店商品的种类有限。
nasty|[ˈnɑːsti] adj. 下流的；严重的|He is a person with a nasty mind.|他是个思想肮脏的人。
nationality|[ˌnæʃəˈnæləti] n. 国籍；民族|She has dual nationality.|她有双重国籍。
native|[ˈneɪtɪv] adj. 本国的；本土的 n. 土著；本地人|He's emigrated to the USA and gone completely native.|他已移居美国，完全成了美国人。
natural|[ˈnætʃrəl] adj. 自然的；天然的|It is natural that he should fall in love with such a beautiful girl.|他爱上那位美丽的姑娘是很自然的事。
naturally|[ˈnætʃrəli] adv. 自然地；天生地|Intemperance is naturally punished with diseases.|行为放荡会自然地招致疾病的惩罚。
nature|[ˈneɪtʃə(r)] n. 自然界；性质|To a great extent, that is the nature of my own work.|在很大程度上,这就是我工作的性质。
naughty|[ˈnɔːti] adj. 顽皮的；淘气的|His dog scared that naughty boy away.|他的狗把那个顽皮的孩子吓走了。
naval|[ˈneɪvl] adj. 海军的；军舰的|It was unable to turn around at the West end of Chambers Field at the Norfolk Naval Station.|它是不能在诺福克海军的车站室领域的西繁华区回过头的。
navigation|[ˌnævɪˈɡeɪʃn] n. 导航；航行|Mechanics discovered problems with the plane's navigation system.|机械工发现飞机的导航系统存在问题。
navy|[ˈneɪvi] n. 海军；船队|He is a gunner of the British navy.|他是英国海军的一名炮手。
near|[nɪə(r)] adj. 近的；近似的 adv. 在附近；不久以后 prep. 附近；接近 v. 接近；靠近|His flat's very near.|他的公寓就在附近。
nearby|[ˌnɪəˈbaɪ] adj. 附近的 adv. 在附近|He usually trades at the nearby supermarket.|他通常在附近的超市购物。
nearly|[ˈnɪəli] adv. 几乎；差不多|Nearly all of them kept aloof from such doctrines.|他们几乎都不接受这种教条。
neat|[niːt] adj. 整洁的；简洁的 adv. 整洁地；利索地|He has made neat paths and has built a wooden bridge over a pool.|他在花园里铺上整洁的小路，并在池塘上架起木桥。
necessarily|[ˌnesəˈserəli] adv. 必然地；必定地|The rich are not necessarily happy.|有钱人未必快乐。
necessary|[ˈnesəsəri] adj. 必要的；必然的 n. 必需品|She will make necessary arrangements.|她会作好必要的准备。
necessity|[nəˈsesəti] n. 需要；必需品|Necessity is the mother of invention.|需要是发明之母。
necklace|[ˈnekləs] n. 项链|I value this necklace at $5,000.|我估计这条项链值五千美元。
need|[niːd] v. 需要；必需 n. 需要；必要 aux. 需要，必须（无时态、人称变化，后与不带 to 的动词不定式连用，多用于疑问…|You look tired. You need a good rest.|你看来累了。你需要好好休息一下。
needle|[ˈniːdl] n. 针 vt. 用针缝；激怒 vi. 缝纫|The needle pierced her finger.|针刺进了她的手指。
needless|[ˈniːdləs] adj. 不需要的；无用的|Banning smoking would save needless deaths.|禁止吸烟会免除不必要的死亡。
negative|[ˈneɡətɪv] adj. 否定的；消极的 n. 否定；反面意见 vt. 否定|Now I am afraid of getting a negative response.|现在真害怕收到否定的答复。
neglect|[nɪˈɡlekt] vt. 忽略；忽视 n. 疏忽；忽视|You shouldn't neglect your health.|你不该忽略你的健康。
Negro|[ˈniːɡrəʊ] adj. 黑人的 n. (含歧视意味)黑人|As offering meet, the negro's blood?|黑人的鲜血怎能上供自由之神！
neighbour|[ˈneɪbə(r)] n. 邻居；邻近之人或事 v. 邻近；接壤|My neighbour is always putting on airs.|我的邻居总是装腔作势。
neighbourhood|[ˈneɪbəhʊd] n. 邻近；邻里关系|Our neighbourhood police are very friendly.|我们邻近的警察非常友善。
neither|[ˈnaɪðə(r)] pron. 两者都不 adj. 两者都不的 adv. 也不 conj. 也不；既不|Neither of my parents enjoys music.|我父母都不喜欢音乐。
nephew|[ˈnefjuː] n. 外甥；侄子|My little nephew is very naughty.|我的外甥特别调皮。
nerve|[nɜːv] n. 神经；勇气 v. 鼓起勇气 （复）nerves: 神经紧张.|A sensitive nerve in a tooth can cause great pain.|牙神经易受损伤，可产生巨痛。
nervous|[ˈnɜːvəs] adj. 神经的，神经细胞的，神经性的；焦虑的|The doctors shall operate on his central nervous system.|医生们将要对他的中枢神经系统动手术。
network|[ˈnetwɜːk] n. 网点；网络|The fabrics are merchandised through a network of dealers.|通过经销网点销售纺织品。
neutral|[ˈnjuːtrəl] adj. 中立的；中性的 n. 中立者；空挡位置|That country remained neutral in the war.|那个国家在那场战争中保持中立。
nevertheless|[ˌnevəðəˈles] adv. 尽管如此；不过 conj. 然而；不过|Our defeat was expected；nevertheless，it was disappointing.|我们的失败是意料中的事；尽管如此,还是令人失望。
newly|[ˈnjuːli] adv. 新近地；重新地|She laid the bouquet on the newly turfed grave.|她把那束花放置在新铺上草皮的坟墓上。
news|[njuːz] n. 新闻；消息|Have you read the news about the election?|你看了关于选举的新闻了吗？
newspaper|[ˈnjuːzpeɪpə(r)] n. 报纸；新闻纸|He unfurled the newspaper and began to read.|他展开报纸开始阅读。
nice|[naɪs] adj. 好的；美妙的|It's a nice day today.|今天天气很好。
niece|[niːs] n. 侄女；外甥女|Her niece is wearing a bright yellowish skirt.|她的侄女穿著一条鲜明的淡黄色裙子。
night|[naɪt] n. 夜晚 adj. 夜晚的|Night began to fall.|夜幕降临。
nineteen|[ˌnaɪnˈtiːn] 十九|They were chatting away nineteen to the dozen.|他们聊个没完。
ninety|[ˈnaɪnti] num. 九十|He was born in the nineties of the nineteen century.|他生于十九世纪九十年代。
nitrogen|[ˈnaɪtrədʒən] n. 氮|Air consists chiefly of nitrogen.|空气主要由氮气组成。
no|[nəʊ] adv. 不 adj. 没有；不是 n. 否定的回答；投反对票者|The sick man is no better.|那病人一点也没有好转。
noble|[ˈnəʊbl] adj. 高贵的；宏伟的 n. 贵族|These few words fully revealed her noble quality.|这寥寥数语充分显示了她的高贵品质。
nobody|[ˈnəʊbədi] n. 无足轻重的人；小人物 pron. 没有人|She has almost nobody to take up for her.|她几乎没有人支持。
nod|[nɒd] v. 点头；打盹 n. 点头；同意|She nodded when she passed me in the street.|她在街上走过我身旁时向我点了点头。
none|[nʌn] pron. 没有人；没有任何东西，一个也没有，毫无 adv. 决不|None could produce a simple, tidy answer.|没有人能提出一个简单而又令人满意的答案。
nonsense|[ˈnɒnsns] n. 废话；胡说|I have never in my entire life heard such nonsense!|我一生中从未听到过这样的废话！
noon|[nuːn] n. 正午；中午|At noon, the sun is high in the sky.|正午，烈日当空。
normal|[ˈnɔːml] adj. 正常的；正规的 n. 常态；标准|Everything is absolutely normal.|一切完全正常。
normally|[ˈnɔːməli] adv. 通常；正常地|When do you normally get in from work?|你平时下班几点到家?
north|[nɔːθ] adj. 北方的；北的 adv. 向北方 n. 北方；北|Such fish is rarely met with in the north country.|这种鱼在北方难得看到。
northeast|[ˈnɔːθˈiːst] n. 东北 adj. 东北的；向东北的 adv. 向东北；来自东北|At this point the road turns northeast.|路在这里转向东北。
northern|[ˈnɔːðən] adj. 北部的；北方的|That's a large city in northern Greece.|那是希腊北部的一个大城市。
northwest|[ˈnɔːθˈwest] n. 西北；西北方 adj. 西北的；在西北的 adv. 向西北|There is a large hilly area in the northwest.|西北部有一大片丘陵地带。
nose|[nəʊz] n. 鼻子；突出部分 v. 嗅到；探听|He quirked up his nose to make a face.|他鼻子一扬作了个鬼脸。
note|[nəʊt] n. 笔记；便条 vt. 注意；记录|Students should take notes during the lectures.|学生们上课应该做笔记。
notice|[ˈnəʊtɪs] vt. 注意；留心 n. 通知；注意|He walked so fast that he didn't notice his wife.|他走得太快了,连他夫人都没注意到。
noticeable|[ˈnəʊtɪsəbl] adj. 显而易见的；显著的|The scar on her forehead is hardly noticeable.|她额头上的伤疤不太明显。
novel|[ˈnɒvl] n. 小说 adj. 新奇的|The novel is considered a brilliant performance.|这部小说被认为是出色的佳作。
November|[nəʊˈvembə(r)] n. 十一月|November is the high tourist season for southeast Asia.|十一月是东南亚旅游的旺季。
now|[naʊ] adv. 现在；立刻 conj. 既然(与that连用) n. 现在；此刻 adj. 目前的；现存的 abbr. 全国妇…|It is now possible to put a man on the moon.|目前已能将人送到月球上。
nowadays|[ˈnaʊədeɪz] adv. 现今；现在|Nowadays we rely increasingly on computers for help/to help us.|现今人们越来越依赖计算机协助工作。
nowhere|[ˈnəʊweə(r)] adv. 任何地方都不 n. 不知道的地方；无处|Nowhere else will you find such a good book.|你在其他任何地方都找不到这么好的书。
nuclear|[ˈnjuːkliə(r)] adj. 原子核的；原子能的|Nuclear binding energies are strikingly high.|原子核的结合能是极大的。
nucleus|[ˈnjuːkliəs] n. 核；核心|A nucleus can have only one Y-chromosome.|一个核可以仅有一个Y染色体。
number|[ˈnʌmbə(r)] n. 号码；数量 v. 总计；编号|He picked a winning number on the first draw.|他第一次便抽到一个中奖号码。
numerous|[ˈnjuːmərəs] adj. 为数众多的；许多|The Earth is only one of the numerous planets in the universe.|地球只是宇宙中众多星球中的一个。
nurse|[nɜːs] n. 护士；保姆 v. 看护；护理|A nurse came to put on a clean dressing for him.|一位护士来给他包上干净的绷带。
nursery|[ˈnɜːsəri] n. 托儿所；保育室|Many children under five go to nursery school.|5岁以下的许多儿童都上幼儿园。
nut|[nʌt] n. 坚果；果仁 n. 螺母；螺帽 vi. 采坚果|He carefully cracked a nut and then give it to me.|他仔细敲开一颗坚果,然后递给了我。
nylon|[ˈnaɪlɒn] n. 【U】尼龙 （复数）nylons：女长袜.|This coat is made of nylon.|这件衣服是尼龙的。
obey|[əˈbeɪ] v. 服从；遵守|Soldiers are expected to obey their orders without question.|军人应当绝对服从命令。
object|[ˈɒbdʒɪkt] n. 物体；目标 v. 反对；提出 ... 作为反对的理由|Various objects were on the table.|桌子上摆着各种各样的物体。
objection|[əbˈdʒekʃn] n. 反对；异议|I have no objection to their plan.|我不反对他们的计划。
objective|[əbˈdʒektɪv] adj. 客观的；真实的 n. 目标；目的|From any objective perspective,it is simply too long.|从客观的角度来讲，这实在是太长了。
oblige|[əˈblaɪdʒ] vt. 迫使；责成 vi. 帮忙|The law oblige parents to send their children to school.|法律上要求父母送子女入学。
observation|[ˌɒbzəˈveɪʃn] n. 观察；观察力|The patient was kept under observation all night.|这位病人被观察了一整夜。
observe|[əbˈzɜːv] v. 观察；遵守|We have to observe carefully what's going on there.|我们必须仔细观察那里的动静。
observer|[əbˈzɜːvə(r)] n. 观察者|Each observer's prediction has been borne out.|每个观察者的预料已被证实了。
obstacle|[ˈɒbstəkl] n. 障碍；绊脚石|Lack of education is an obstacle of success.|缺乏教育是成功的障碍。
obtain|[əbˈteɪn] vt. 获得；得到 vi. 流行；通用|He failed to obtain a scholarship.|他没有获得奖学金。
obvious|[ˈɒbviəs] adj. 明显的；显然的|It is obvious that she is very clever.|很明显，她挺聪明。
